S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1676,D (Fourth Level),Geology,"Sampler, Mining ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Marks metal bearing rock faces for cutting 
grooves, measures sample section, chisels out 
minerals sample from grooves and marks them 
for analysis. Determines and marks sample 
section according to rock surface and grades of 
mineralization for groove cutting.","Work is performed inside and outside. No hazards are 
involved. The person should have functional communication 
skills with aids & devices ",TRUE
1677,D (Fourth Level),Geology,"Groove, Cutter ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Cuts groove of specified dimensions along 
marks made by sampler for extracting sample 
from metal bearing rock faces in mine.","Work is performed inside and outside. No 
hazards are involved.  The incumbent  should 
be considered with aids and appliances. ",TRUE
1678,D (Fourth Level),Geology," Hardness Tester,  Metal ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),Checks hardness of metal by operating hardness testing machine. Places metal to be tubed on table of machine ,"Work is performed inside and outside. No 
hazards are involved. The incumbent  should 
be considered with aids and appliances.",TRUE
1679,D (Fourth Level),Geology,Cast Stone Maker ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Performs one or more hand or machine tasks in making of artificial stone which simulates 
natural stone. Mixes materials, such as water, cement, gravel, granite chippings, slag, coke, 
breeze or stone dust in required proportions by hand or machine. Fills moulds with mixture, 
allows mixture to harden and removes it from mould",Work is performed outside and inside both. No hazards are involved. Mobility of the person should be adequate. The incumbent should be able to performed assigned task efficiently ,TRUE
1680,D (Fourth Level),Health and medical including nursing and chemist,Lab Chemist ,"Sitting (S), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Responsible for the scientific work in laboratory and providing input on experimental design, data analysis and interpretation.","The work is laboratory based. The room is having good light 
Mobility and bilateral hand activities should be adequate. ",TRUE
1681,D (Fourth Level),Health and medical including nursing and chemist,"  Laboratory  Assistant ,  Clinical ","Sitting (S), Standing (ST), Walking (W), Bending (BN)",,"Hard of Hearing (HH), Deaf (D)","Both Legs (BL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Laboratory Assistant, Clinical; Medical Laboratory Technician arranges and sets various 
instruments and apparatus in clinical laboratory for conducting pathological and bacteriological study and conducts routine tests of blood, urine,sputum etc. For medical purposes and for diagnosis of diseases. Sets in position required apparatus and equipment and makes necessary electrical connections. Prepares standard solutions, reagents, media for culture etc. By weighing, grinding, mixing and dissolving prescribed proportion of sample or chemical in water or other liquids etc. Collects samples such as water, urine, blood, sputum etc. In clean and sterile containers or slides for bacteriological, pathological or biological study. Assists in conducting routine test of urine, stool, sputum or blood to determine sugar content, germs or worms or blood groups as required. Mounts and prepares slides with specimens for microscopic study by physicians and specialists. Washes, cleans  and  dries apparatus and equipment after use and maintains them in proper workingcondition ",The work is performed inside as well as outside. Requires fine eye hands coordination while performing task. Mobility should also be adequate. The incumbent should be considered with aids and appliances wherever necessary. ,TRUE
1682,D (Fourth Level),Health and medical including nursing and chemist,"Laboratory   Assistant, Physical","Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Assists and carries out routine duties in physical laboratory as directed by physicist in conducting experiments. Sets up required apparatus and infrastructure in position as directed for conducting experiments and research work . Makes necessary electrical connection to equipment’s and instruments as required. Records routine and other observation as indicated by instruments and makes necessary calculations as directed. Removes apparatus when not in use, cleans and maintains them in good condition. May do minor repairs to equipment and  apparatus. May store and maintain account of instruments, equipment, apparatus etc., if required.","The work is performed mostly inside. Occasional field work is involved. He usually works alone. Some jobs involve the hazard of high voltage. Incumbent should 
be considered with aids & appliances, wherever necessary. ",TRUE
1683,D (Fourth Level),Health and medical including nursing and chemist,"Lab. Technician,  Artificial Breeding ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Laboratory Technician, Artificial Breeding measures purity and potency of bull semen to 
develop improved methods for preserving and processing semen for  artificial  insemination of cattle. Observes sample of freshly collected sperm cells. Determines density of semen using densimeter. Adds measured amounts of extender, sodium citrate and antibiotics semen to dilute and preserve sample. Transfers semen to refrigeration unit. Cleans and sterilizes laboratory equipment. Performs experimental tests as directed such as to extend survival rate and time of sperm cells and development of improved preservative processes. Cultivates, isolates and identifies pathogenic bactena and other micro – organism in semen. ","The work is performed both inside and outside. Mobility and bilateral hand activities of the 
person should be adequate. The incumbent needs to be considered with aids & appliances.",TRUE
1684,D (Fourth Level),Health and medical including nursing and chemist,Dietician ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Dietician plans, supervises and instructs in preparation of therapeutic or other diets for 
individuals or groups, in hospitals, institutions or other establishments. Determines dietic values of foods and food products. Plans menus and special diets with proper nutritional value. Estimates and purchases required food, equipment and supplies. Ensures that food is 
properly prepared and sanitary conditions are maintained in cooking and catering places. 
Instructs individuals and groups in applying principles of nutrition to selection and 
preparation of foods. May prepare educational materials on nutrition. May specialize in any particular branch of dietetics, and be designated accordingly. Prescribing diet, advising about diet habits, conditions to various patients. ","The work is performed inside as well as outside. Usually workers 
work alone. Mobility and bilateral hand activities should 
be adequate. The place is well lighted. Incumbent should be 
considered with suitable aids &",TRUE
1685,D (Fourth Level),Health and medical including nursing and chemist,Dresser ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Manipulation with Fingers (MF), Reading & Writing (RW), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Dresser dresses wounds, cuts, sores, boils etc. 
And applies ointment, liniments, and paints and 
gives first aid in emergency cases. Cleans 
wounds, cuts, sores with antiseptic material and 
applies ointments, paints, gauze, lint or other 
sterile material as prescribed by Surgeon, or 
under medical advice. Touches throat with throat 
paint, drops medicine, in eyes, nose or ears. 
Bandages wounds and other affected part of 
body. May massage any part of body under 
guidance of doctor. May prepare patients for 
operations and give them pre-operational care.","The work is mainly performed inside. Usually workers work alone and sometimes in groups. The place is well lighted. Mobility of the person should not be restricted. 
Incumbent should be considered with suitable aids &appliances. ",TRUE
1686,D (Fourth Level),Health and medical including nursing and chemist, Dental Assistant ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Dentist’s Assistant prepares patients for examination, treatment or dental surgery and 
assists Dentist in performing his work by handing him necessary implements or equipment 
and by keeping patients comfortable. Obtains and records patient’s personal information and medical history and records dental treatment rendered. Seats patient and prepares him for treatment. Arranges dental instruments, materials, and medications and hands them to 
Dentist as required. Keeps oral operating area clear during dental procedures by use of suction devices, water sprays, cotton rolls and holders and by retraction of cheek and tongue. Supplies portions of filling materials to Dentist as required during placement of restorations. Gives emergency treatment for local and systematic distress under Dentist’s direction. ","The work is performed inside. Usually workers work alone with a dentist. The place is well lighted. Mobility of the person should not be restricted. The incumbent should have developed hearing and Communication skills with the help of hearing aids etc. 
Incumbent  should be considered with suitable aids &appliances. ",TRUE
1687,D (Fourth Level),Health and medical including nursing and chemist,"Laboratory Asst.,  Pharmaceutical ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Laboratory Assistant, Pharmaceutical, arranges and sets apparatus and other equipment’s in pharmaceuticallaboratory, conducts routine tests of various ingredients for manufacture of drugs and medicines and assists Pharmaceutical Chemist in carrying out studies and experiments. Sets required types of apparatus and equipment in position as required for conducting studies and experiments. Performs routine tests of different ingredients and records observations as desired. 
Grinds and mixes chemicals and other raw materials in prescribed proportions for study, research or manufacture of drugs and medicines such as syrups, tonics, ointments, solutions, tablets, etc. Under guidance of Pharmaceutical 
Chemist. Collects and tests samples at various stages of production to determine effects and ensures compliance to specification. Maintains precision apparatus and equipment in good working order and in safe custodyandkeepslaboratory clean and tidy. ",The work is performed inside. Workers work alone as well as in groups. Mobility of the person should not be restricted. The incumbent should be considered  with aids and appliances.,TRUE
1688,D (Fourth Level),Health and medical including nursing and chemist,Optometrists  & Opticians ,"Sitting (S), Standing (ST), Lifting (L), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Optician, dispensing fabricates lenses to prescription specifications, fits lenses in frames, 
assists customer in choice of frames and fits frames to customer. Reads prescription for frame and lens specifications. Assists customer in choosing frames by advising correct size and shape according to facial features. Measures customer for bridge length and pupillary distance using ruler, and prepares work order slip. Selects lens blank from stock. Sets up and operates machines, such as generator, polisher, edger and hardener to make lens to specifications. Adjusts finished eye glasses to fit customer by hearing and shaping plastic or by bending metal frame with fingers and pliers. Inspectslensesanddeterminesspecifications of broken lenses with power determining and optical instruments. May examine eyes to determine visual efficiency and performance by means of instrumentation and observation and prescribe corrective eyeglasses. May sell other optical goods, such as binoculars, magnifying glasses and non-prescription sunglasses. ",The work is performed both inside and outside. Mobility of the person should not be restricted. The incumbent needs to be considered with aids & appliances. ,TRUE
1689,D (Fourth Level),Health and medical including nursing and chemist,Medical  Social Worker ,"Sitting (S), Standing (ST), Walking (W), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV), Muscular Dystrophy (MDy)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Medical Social Worker assists in solving social and emotional problems of individuals in relation to illness. Acts as Liaison between patients and Physicians, Therapists and other medical service workers to facilitate treatment. Discusses with physicians so that their understanding of patient’s social problems is adequate. Visits homes to assist in preparing proper environment for patients. Assists patients and their families in developing mental and emotional adjustments to illness. Attempts to eliminate fears, prejudice and other attitudes that are obstacles to acceptance of medical care and continuation of treatment. Facilitates effectiveness of treatment or recuperation by assisting patients to  regulate their lives so that harmful factors such as overwork, strenuous recreational activities, inadequate diet and worries are removed.   Refers   patients   to community resources that may expedite their rehabilitation. May participate in research programmes related to medico-social problems. Social Worker assists in solving social and emotional problems of individuals. Acts as Liaison between patients and Physicians, Therapists and other medical service workers. Discusses with physicians so that their understanding of patient’s social problems is adequate. Visits homes to assist in preparing proper environment for patients. Assists patients and their families in developing mental and emotional adjustments to illness. Attempts to eliminate fears, prejudice and other attitudes that are obstacles to acceptance of medical care and continuation of treatment. Facilitates effectiveness of treatment or  recuperation by assisting patients to regulate their lives  so that harmful factors such as overwork, strenuous recreational activities, inadequate diet and worries are removed. Refers patients to community resources that may expedite their rehabilitation. May  participate in research programmes related to medico-social problems. ","The work is performed inside as well as outside. Usually workers 
work alone. The place is well lighted. Mobility of the person should be 
adequate. The incumbent should be considered with aids and appliances 
wherever 
",TRUE
1690,D (Fourth Level),Health and medical including nursing and chemist, Record Keeper  (Radiology) ,"Sitting (S), Standing (ST), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV), Muscular Dystrophy (MDy)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Maintaining records related to Radiology works, 
tests and various experiments","The work is performed mostly inside. The incumbent should be considered with 
aids and appliances
",TRUE
1691,D (Fourth Level),Health and medical including nursing and chemist,Tablet Coater,"Standing (ST), Bending (BN), Lifting (L), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), Both Legs One Arm (BLOA), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Tablet Coater; Pill Coater coats compressed tablets or pills with syrup or other substance to 
preserve ingredients and make them palatable. Fills coating pot or pan of machine with tablets or pills. Pours measured quantity of syrup or other coating substance on tablets and starts pot revolving to coat tablets with syrup or coating substance. Operates machine to rotate pot for required time to ensure even coating. Checks that tablets are coated; adds powder that adheres to tablets polish surface of coated tablets by rotating them in wax coated churn. May coat pills with powdered sugar, French chalk (pearl coating) or sulfur.","The work is performed inside. Mobility and bilateral hand 
activities of the person should be adequate. The incumbent should 
be considered with aids and appliances.",TRUE
1692,D (Fourth Level),Health and medical including nursing and chemist,Ampoule Filler ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Ampoule Filler; Vial Filler fills ampoules (small glass vials) with doses of hypodermic solution. Inserts finely drawn end of glass burette (graduated tube) into opening of vial. Opens clamp on hose of turns stopcockonburettetoreleasemeasuredquantityofliquid,allowingampouletofill.
 Places filled ampoules in box, cover them to prevent dust contamination and sets them aside to be sealed. ","The work is performed inside. Mobility of the person should not 
be restricted. The incumbent should be considered with aids and appliances. ",TRUE
1693,D (Fourth Level),Health and medical including nursing and chemist,Ampoule Sealer ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Ampoule Sealer seals ampoules (small vials) filled with hypodermic solutions. Holds tip of 
ampoule in flame of Bunsen burner until glass melts; squeezes and pulls melted tip with 
tweezers; and removes glass from flame; and snaps off threadlike projection. Places sealed 
ampoules in rack ready for sterilizing and packing. May fill ampoules.",The work is performed inside. Mobility of the person should not be restricted. The incumbent should be considered with aids and appliances. ,TRUE
1694,D (Fourth Level),Health and medical including nursing and chemist,M.B.Tester,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"MB Tester; Methylene Blue Tester tests tightness of sealed ampoules by immersing them 
in Methylene blue solution. Places trays with filled ampoules and Methylene blue solution in 
vacuum chamber solution; operates valves to create vacuum and allows trays to remain in 
chamber for specified period. Removes and washes ampoules in clean water; examines and 
rejects ampoules containing blue solution ","The work is performed inside. Mobility of the person should not 
be restricted. The incumbent should be considered with aids and appliances. ",TRUE
1695,D (Fourth Level),Health and medical including nursing and chemist," Optical Examiner,  Ampoul","Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Seeing (SE)",,,"One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A and B), Multiple Disabilities (MD A and C)","Optical Examiner, Ampoules examines filled ampoules for clarity of solution. Holds ampoules against light; examines them visually for dirt and impurities and rejects defective ampoules. May fill and seal ampoules.","The work is performed inside. Mobility and bilateral hand 
activities of the person should be adequate. The incumbent should 
be considered with aids and appliances. ",TRUE
1696,D (Fourth Level),Health and medical including nursing and chemist,Acid Plant Operator ,"Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Acid Plant Operator maintains and operates acid plant for manufacturing sulphuric, hydrochloric, nitric or other acids by treating raw materials Sulphur, salts, etc.) with acid or steam. Collects required amount of raw materials for preparation of desired acid. Sets up and checks equipment, valves, gauges and other instruments; charges vessel with predetermined amount of chemicals, or regulates feed of materials into equipment .May keep records. May be designated according to product or process, e.g. Sulphuric Acid Plant Operator; Hydrochloric Acid Plant Operator; Fertilizer Maker; Phosphorus Maker. ",The work is performed inside. Mobility of the person should not be restricted. The job involves hazard of identification and handling of acid chemicals. The incumbent should be considered with aids and appliances. ,TRUE
1697,D (Fourth Level),Health and medical including nursing and chemist,Cell Room  Attendant ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Cell Room Attendant Chemical tends electrolytic cells used in manufacture of caustic soda and chlorine. Inspects cells to ascertain that liquid levels, brine flows, cell pressure and current as indicated by manometers, sight glasses, flowmeters and automatic recorders are 
maintained. Replaces any damaged tubing and washes cell surfaces with water or acid to clean them. Measures specific gravity of caustic soda solution produced by cell group, using 
hydrometer or by calorimetric titration and adjusts cell operation accordingly. May be 
designated according to type of cell tended, as Hooker-Cell Attendant, Mercury- Cell Attendant, Gibbs- Cell Attendant","The work is performed inside. Bilateral hand activities 
should be adequate. The job involves identification and 
handling of chemicals. The incumbent should be considered with 
aids and appliances. ",TRUE
1698,D (Fourth Level),Health and medical including nursing and chemist," Sorter, Hides And  Skin","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Sorter, Hides and Skins sorts and grades hides and skins before or after processing . Examines  hides for weight, thickness and colour and checks quality by touch; inspects hides for defects, such as bran into groups; selects hides suitable for processing;’ examines and grades processed hides rejecting and returning hides for reprocessing where necessary. May be designated according to material sorted as Calf  Skin Sorter, Patent Leather Sorter. ","The work is  performed  inside . Mobility of  the person should be 
adequate. The incumbent should be considered with aids and appliances. ",TRUE
1699,D (Fourth Level),Health and medical including nursing and chemist," Hide And Skin Setter, Hand","Sitting (S), Standing (ST), Bending (BN), Pulling & Pushing (PP), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Hide and Skin Setter; Hand; Slickered removes wrinkles and sets grains on wet hide or skin 
using a flat edge metal plate(slicker). Spreads oiled hide or skin on table; rubs surface of skin or hide exerting pressure with flat edged metal plate to remove wrinkles and smoothen leather; repeats process on grain side of skin or hide to set grain.","The work is performed inside. Mobility of the person should be 
adequate. The incumbent should be considered with aids  and appliances. ",TRUE
1700,D (Fourth Level),Health and medical including nursing and chemist,"Fluffer, Hand ","Sitting (S), Standing (ST), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Fluffer, Hand removes fluff from flesh side of skin by rubbing whole surface of skin with burnt stone or brick. Spreads skin stretched over table with flesh side upwards; rubs entire surface applying pressure by hand with burnt stone or brick to remove fluff from skin till surface of leather becomes smooth Ansoff. ",The work is performed inside. Mobility of the person should be adequate. The incumbent should be considered with aids  and appliances. ,TRUE
1701,D (Fourth Level),Health and medical including nursing and chemist,Orthopaedic  Appliance And Limb  Technicion ,"Sitting (S), Standing (ST), Bending (BN), Lifting (L), Pulling & Pushing (PP), Reading & Writing (RW), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Makes and repairs artificial limbs, braces, and other orthopaedical appliance according to 
prescription. Makes cast of limb or deformity and draws patterns from measurements of body members to be fitted. ",The work is performed inside as well as outside. Mobility of the person should be adequate. The incumbent should be considered with aids & appliances. ,TRUE
1702,D (Fourth Level),Health and medical including nursing and chemist,Prosthetist ,"Standing (ST), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Provides care to patients with disabling conditions of limbs, spine or partial or total 
absence of limb by fitting and preparing orthopedic braces and prosthesis, under direction 
of and in consultation  with physicians. ","Laboratory / Workshop based  work. Mobility of the person should 
be adequate. Should have functional communication skills with aids &devices. ",TRUE
1703,D (Fourth Level),Health and medical including nursing and chemist,Orthotist ,"Standing (ST), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Provides care to patients with disabling conditions  of limbs, spine or partial or total 
absence of limb by fitting and preparing orthopedic braces and prosthesis ,under direction 
of and in consultation  with physicians","Laboratory / Workshop based  work. Mobility of the person should 
be adequate. Should have functional communication skills with aids & devices. ",TRUE
1704,D (Fourth Level),Health and medical including nursing and chemist,"Mechanic, Dental ","Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Makes full or partial dentures ,inlay ,bridges, and crowns of metal, vulcanite or other composition plates from wax or plaster plate impression taken 
by Dentist and repaires dental aids as prescribed by him. ","The work is performed inside as well as outside. 
The incumbent should be considered with aids & appliances. ",TRUE
